ID,Name,Age,Dob,Height,Weight,Nationality,Club,Overall,Potential,Value,Wage,Player Positions,Preferred Foot,Skill Moves,Release Clause,Jersey Number,Joined,Contract Valid Until
158023,L. Messi,32,24/06/1987,170,72,Argentina,FC Barcelona,94,94,95500000,565000,"RW, CF, ST",Left,4,195800000,10,01/07/2004,2021
20801,Cristiano Ronaldo,34,05/02/1985,,83,Portugal,Juventus,93,93,58500000,405000,"ST, LW",Right,5,96500000,7,10/07/2018,2022
190871,Neymar Jr,27,05/02/1992,175,68,Brazil,Paris Saint-Germain,92,92,105500000,290000,"LW, CAM",Right,5,195200000,10,03/08/2017,2022
200389,J. Oblak,26,07/01/1993,188,87,Slovenia, ,91,93,77500000,125000,GK,Right,1,164700000,13,16/07/2014,2023
183277,E. Hazard,28,07/01/1991,,74,Belgium,Real Madrid,91,91,90000000,470000,"LW, CF",Right,4,184500000,7,01/07/2019,2024
192985,K. De Bruyne,28,28/06/1991,181,70,Belgium,Manchester City,91,91,90000000,370000,"CAM, CM",Right,4,166500000,17,30/08/2015,2023
192448,M. ter Stegen,27,30/04/1992,187,85,Germany,FC Barcelona,90,93,67500000,250000,GK,Right,1,143400000,1,01/07/2014,2022
203376,V. van Dijk,27,08/07/1991,193,92,Netherlands,Liverpool,90,91,78000000,200000,CB,Right,2,150200000,4,01/01/2018,2023
177003,L. Modrić,33,09/09/1985,,66,Croatia,Real Madrid,90,90,45000000,340000,CM,Right,4,92300000,10,01/08/2012,2020
209331,M. Salah,27,15/06/1992,175,71,France,Liverpool,90,90,80500000,240000,"RW, ST",Left,4,148900000,11,01/07/2017,2023
231747,K. Mbappé,20,20/12/1998,178,73,France,Paris Saint-Germain,89,95,93500000,155000,"ST, RW",Right,5,191700000,7,01/07/2018,2022
201024,K. Koulibaly,28,20/06/1991,187,89,Senegal,Napoli,89,91,67500000,150000,CB,Right,2,119800000,26,01/07/2014,2021
202126,H. Kane,25,28/07/1993,188,89,England,Tottenham Hotspur,89,91,83000000,220000,ST,Right,3,159800000,10,01/07/2010,2024
212831,Alisson,26,02/10/1992,191,91,Brazil,Liverpool,89,91,58000000,155000,GK,Right,1,111700000,1,19/07/2018,2024
193080,De Gea,28,07/11/1990,192,82,Spain,Manchester United,89,90,56000000,205000,GK,Right,1,110600000,1,01/07/2011,2020
215914,N. Kanté,28,29/03/1991,168,72,France,Chelsea,89,90,66000000,235000,"CDM, CM",Right,2,130400000,7,16/07/2016,2023
